t,Elastic energy,Dissipated energy,Total energy,Outer iterations,Inner iterations
0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.1756835541599293,0.00441165177590237,0.18009520593583417,1.0,10.0
0.2222222222222222,0.6087699225890908,0.06391079008142976,0.6726807126705279,3.0,28.0
0.3333333333333333,1.0592895248785685,0.28351718713609986,1.3428067120146692,11.0,100.0
0.4444444444444444,0.011511812447718275,1.2918013983620162,1.3033132108097447,269.0,7752.0
0.5555555555555556,0.008298455798175274,1.299361797584943,1.3076602533831228,2.0,15.0
0.6666666666666666,0.0067873844997973195,1.303601391809214,1.3103887763090103,2.0,15.0
0.7777777777777777,0.005963421665555585,1.306382623573674,1.3123460452392426,2.0,15.0
0.8888888888888888,0.005467498796414893,1.30840123407428,1.3138687328707015,2.0,13.0
1.0,0.005152315575100843,1.3099652463715807,1.3151175619466733,2.0,14.0
