Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.36986420852630897,0.0
1,1,1.0,0.06426593371452254,0.0
1,1,1.0,0.021708448839894517,0.0
1,1,1.0,0.011772519379145164,0.0
1,1,1.0,0.0066904596743910605,0.0
1,1,1.0,0.003972337421304127,0.0
1,1,1.0,0.0023993860115349317,0.0
1,1,1.0,0.0014660438760102233,0.0
1,1,1.0,0.0009010332931858406,0.0
1,1,1.0,0.0005557501039815946,0.0
1,1,1.0,0.00034344968134356204,0.0
1,1,1.0,0.00021248334252259833,0.0
1,1,1.0,0.000131532299764831,0.0
1,1,1.0,8.144252502687463e-05,0.0
