t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Outer iterations,Inner iterations
0.0,0.0,92.43104071874833,92.43104071874833,0.05683364700007587,1.0,1.0
0.01,0.43255464046179537,92.4310461201602,92.8636007606222,0.775173599000027,1.0,3.0
0.02,1.7300888950819795,92.43112716652811,94.16121606161028,0.8674809980000191,1.0,3.0
0.03,3.89221342136807,92.43147861418163,96.32369203554975,1.2321707710000283,2.0,6.0
0.04,6.918278180025048,92.43242581464767,99.35070399467259,1.2363911049999388,2.0,6.0
0.05,10.807370671270402,92.43442590025133,103.24179657152175,1.193159150999918,2.0,6.0
0.06,15.558313394299631,92.43806949094919,107.99638288524869,1.2748225220000222,2.0,6.0
0.07,21.16966035759298,92.44408306849098,113.61374342608386,1.2065413909999734,2.0,6.0
0.08,27.639692572849476,92.45333204863043,120.09302462147988,1.2246768590000556,2.0,6.0
0.09,34.96641224195625,92.46682479265165,127.43323703460823,1.2608390880000115,2.0,6.0
0.1,43.147535393921224,92.48571773546108,135.6332531293824,1.2582767599999443,2.0,6.0
0.11,52.180482559556445,92.51132195483993,144.69180451439627,1.2401364030001787,2.0,6.0
0.12,62.06236693588457,92.54511161276032,154.60747854864505,1.2686390489998303,2.0,6.0
0.13,72.78997649376988,92.58873765652206,165.37871415029184,1.9622164130000783,3.0,11.0
0.14,84.35976254651922,92.64403404882597,177.00379659534502,1.9777190989998417,3.0,11.0
0.15,96.76780384384458,92.71304715546792,189.4808509993124,1.9571388439999282,3.0,11.0
0.16,110.00977809399444,92.79805596759131,202.80783406158588,2.071733616000074,3.0,12.0
0.17,124.08091400014402,92.90160944559565,216.98252344573993,2.0212610969999787,3.0,12.0
0.18,138.97592611522694,93.0265777488872,232.00250386411415,2.05030869899997,3.0,12.0
0.19,154.688914703474,93.17623370995608,247.86514841343038,2.5437552040000355,4.0,15.0
0.2,171.21324381685844,93.35434901090554,264.5675928277639,2.6418542280000565,4.0,16.0
0.21,188.54129755701723,93.56540106350488,282.10669862052225,2.618219116000091,4.0,16.0
0.22,206.66406805564182,93.81492983051011,300.4789978861516,3.1939747469998565,5.0,20.0
0.23,225.57063989727035,94.10996562305468,319.6806055203249,3.17899007799997,5.0,20.0
0.24,245.24661952049223,94.46044825199237,339.70706777248404,3.826778190000141,6.0,24.0
0.25,265.670994326059,94.88207482716737,360.55306915322615,4.902162065000084,8.0,32.0
0.26,286.80683366207126,95.40492029660425,382.211753958675,6.044438463999995,10.0,40.0
0.27,308.55063952424035,96.12186093399156,404.67250045823175,14.299873605999892,25.0,126.0
0.28,168.4324907327921,243.1542392348639,411.5867299676561,343.37634065399993,648.0,3311.0
0.29,165.67150682589133,257.6496120672463,423.3211188931383,80.97088438000014,128.0,844.0
0.3,160.50086372535827,273.50382488711375,434.0046886124718,82.06468203500026,134.0,909.0
0.31,156.28005872790024,288.15118324242917,444.4312419703293,122.50795119900022,204.0,1313.0
0.32,153.06844141090764,301.1699411928254,454.2383826037336,101.6363773740004,156.0,1118.0
0.33,156.59959187480038,307.1597844316028,463.75937630640317,54.98852701199985,84.0,575.0
0.34,147.29509799261626,325.4037641855523,472.69886217816895,141.119228044,220.0,1471.0
0.35000000000000003,150.94050640495695,330.43087600998706,481.37138241494404,76.92958084199972,112.0,770.0
0.36,154.82322872845415,335.17816991087716,490.00139863933094,61.75480785800028,91.0,662.0
0.37,153.54323584443424,344.8878508333414,498.43108667777557,79.1030914490002,110.0,798.0
0.38,153.4681812915383,353.12009709152204,506.58827838305956,64.77493619699999,99.0,711.0
0.39,153.24997902971597,361.34515075254194,514.595129782258,104.03421571299987,152.0,1034.0
0.4,149.8216675585857,372.41247123406515,522.2341387926502,100.20366820900017,139.0,942.0
0.41000000000000003,138.5277422842221,390.91889773299664,529.4466400172187,231.45353882900008,351.0,2244.0
0.42,112.04980722299658,415.61044681797375,527.6602540409701,173.26509735399986,257.0,1706.0
0.43,117.37483616739405,415.6829254824846,533.0577616498786,2.1688088350001635,2.0,8.0
0.44,122.82170977505275,415.75710821995517,538.5788179950066,1.9675908799999888,2.0,8.0
0.45,128.3899688149654,415.83337277251354,544.2233415874789,1.7429037490001065,2.0,6.0
0.46,134.07916496116408,415.91205829999365,549.9912232611575,1.6969020910000836,2.0,6.0
0.47000000000000003,139.88952763631536,415.9928443985824,555.8823720348971,1.8037000059998718,2.0,6.0
0.48,145.81886233829263,416.0777887886394,561.8966511269322,1.8689721380001174,2.0,6.0
0.49,151.86789375867681,416.16600609919544,568.0338998578721,1.8116809859998284,2.0,6.0
0.5,158.0363857812952,416.25759876320444,574.2939845444988,1.7769895609999367,2.0,6.0
0.51,164.32373915908164,416.3530197376216,580.6767588967025,1.8355845010000849,2.0,6.0
0.52,170.72912953810692,416.45292967336593,587.182059211473,2.120507684000131,2.0,8.0
0.53,177.25203517197528,416.55766912791705,593.8097042998916,2.1349963970001227,2.0,8.0
0.54,183.89196374453485,416.6675414986444,600.5595052431793,2.079954813999848,2.0,8.0
0.55,190.64829091800934,416.78296808995134,607.4312590079604,2.140345616999639,2.0,8.0
0.56,197.52158693943338,416.9031909319475,614.4247778713809,2.116313079000065,2.0,8.0
0.5700000000000001,204.51048696265298,417.0293834181181,621.5398703807714,2.1229405079998287,2.0,8.0
0.58,211.61485429046087,417.16146947056245,628.7763237610236,2.1347638180000104,2.0,8.0
0.59,218.83389506178176,417.300028790319,636.1339238521016,2.0694566100000884,2.0,8.0
0.6,226.16738584839032,417.4450610548706,643.6124469032602,2.0766286849998323,2.0,8.0
0.61,233.6151730591328,417.59650579846397,651.2116788575971,2.038785442000062,2.0,8.0
0.62,241.17624355368392,417.7551535625876,658.9313971162713,2.056534007999744,2.0,8.0
0.63,248.85005156419828,417.92130559968825,666.7713571638858,1.905856293999932,2.0,8.0
0.64,256.63612174215285,418.09519646326754,674.7313182054211,1.892478323999967,2.0,8.0
0.65,264.53397998558484,418.2770518240638,682.8110318096481,1.8543426699998236,2.0,8.0
0.66,272.543029986292,418.4672169764749,691.0102469627661,1.8446035160000065,2.0,8.0
0.67,280.66275364391487,418.6659503768735,699.3287040207875,1.7252714419996664,2.0,7.0
0.68,288.892855988762,418.8732901841054,707.7661461728683,1.6924461849998806,2.0,7.0
0.6900000000000001,297.2328924737742,419.08942278677114,716.3223152605459,1.7335691289999886,2.0,7.0
0.7000000000000001,305.6822045237888,419.31474454799127,724.9969490717804,1.7274319329999344,2.0,7.0
0.71,314.2401846365764,419.54959363342505,733.7897782700013,1.771263400999942,2.0,7.0
0.72,322.9062664687114,419.79426221540325,742.7005286841153,1.7829288140001154,2.0,7.0
0.73,331.67992507727604,420.04899659388934,751.7289216711642,1.7753010699998413,2.0,7.0
0.74,340.56051084048255,420.3141645897329,760.8746754302146,1.786675343999832,2.0,7.0
0.75,349.5472905842397,420.59020826415644,770.1374988483961,1.7699578110000402,2.0,7.0
0.76,358.63973052178517,420.87736744274343,779.5170979645284,1.656877386999895,2.0,7.0
0.77,367.83711138086915,421.1760604014283,789.0131717822976,1.6703709450002862,2.0,7.0
0.78,377.1389375953312,421.4864795972677,798.6254171925985,2.545474120000108,3.0,11.0
0.79,386.54447783865015,421.80904864948116,808.3535264881302,2.64115373300001,3.0,11.0
0.8,396.05277591775905,422.1444052351341,818.1971811528938,2.5870898519997354,3.0,11.0
0.81,405.66350331588353,422.4925558586484,828.1560591745324,2.732041836999997,3.0,12.0
0.8200000000000001,415.37585013018423,422.8539869162472,838.2298370464314,2.6816364400001476,3.0,12.0
0.8300000000000001,425.18922695616334,423.22895890059687,848.4181858567598,2.670704198999829,3.0,12.0
0.84,435.10295035829023,423.6178225215368,858.7207728798268,2.6760161289998905,3.0,12.0
0.85,445.11619525515624,424.02106432087,869.137259576026,2.6854173660003653,3.0,12.0
0.86,455.2283148769212,424.43898746125916,879.6673023381816,2.6778733080000166,3.0,12.0
0.87,465.43853820293987,424.8720143435725,890.3105525465137,2.7041071949997786,3.0,12.0
0.88,475.74612465010927,425.3205321385499,901.0666567886591,2.711543062000146,3.0,12.0
0.89,486.15033644506286,425.7849197364114,911.9352561814749,2.732191105000311,3.0,12.0
0.9,496.6503854428339,426.2656026080459,922.9159880508792,2.642917161999776,3.0,12.0
0.91,507.2455494612252,426.76293416546093,934.0084836266856,2.6978839519997564,3.0,12.0
0.92,517.9350258475519,427.2773448239237,945.2123706714749,2.645630834000258,3.0,12.0
0.93,528.7180193425819,427.8092519533886,956.5272712959711,2.578350070000397,3.0,12.0
0.9400000000000001,539.5936481204055,428.35915386536266,967.9528019857682,2.574049468999874,3.0,12.0
0.9500000000000001,550.5611533345284,428.92741998725074,979.4885733217795,2.6189876579996962,3.0,12.0
0.96,561.6196576972602,429.5145347945254,991.1341924917856,2.635089957999753,3.0,12.0
0.97,572.7683353891931,430.1209238164687,1002.8892592056616,2.6081862920000276,3.0,12.0
0.98,584.0063644233302,430.7470058098336,1014.7533702331618,2.657771933999811,3.0,12.0
0.99,595.3329442626385,431.39317333252956,1026.7261175951671,2.6577840569998443,3.0,12.0
1.0,606.7470431492186,432.0600443286529,1038.8070874778707,2.6117594819997976,3.0,12.0
