t,Elastic energy,Dissipated energy,Total energy,Number of iterations
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.14412886286284965,0.00291466758149464,0.14704353044434368,2.0,0.0
0.2,0.5116543810619315,0.04295545849112719,0.5546098395530641,3.0,0.0
0.30000000000000004,0.941253494737939,0.19297274725834584,1.1342262419962958,6.0,0.0
0.4,1.2189392678674986,0.5430618487962751,1.762001116663782,5.0,0.0
0.5,0.027853079811374876,1.4686975772165436,1.4965506570279095,11.0,0.0
0.6000000000000001,0.020895755671672536,1.4844958522709455,1.5053916079425935,3.0,0.0
0.7000000000000001,0.016205471495725522,1.4948778638112605,1.511083335306971,2.0,0.0
0.8,0.01295063500317397,1.5020101097934724,1.5149607447966473,2.0,0.0
0.9,0.010757161012221664,1.5069878359155418,1.5177449969277552,1.0,0.0
1.0,0.0025978268694049956,1.5147579815439878,1.5173558084133782,16.0,0.0
