Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.0006534878048476479,0.0
1,1,1.0,2.831044269522671e-06,0.0
1,1,1.0,1.2623087606083937e-07,0.0
1,1,1.0,6.3269305422718116e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.00028427668968035495,0.0
1,1,1.0,5.5275987050866075e-06,0.0
1,1,1.0,1.1815830194799071e-07,0.0
1,1,1.0,3.168958250719224e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.0001818638344310124,0.0
1,1,1.0,2.020870341254594e-06,0.0
1,1,1.0,2.637063477163753e-08,0.0
1,1,1.0,4.2037322794122307e-10,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.00012387634836876166,0.0
1,1,1.0,8.649544005290305e-07,0.0
1,1,1.0,7.180865933422021e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,8.832679559777434e-05,0.0
1,1,1.0,4.1954882287051157e-07,0.0
1,1,1.0,2.3061393434314442e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,6.524555373690425e-05,0.0
1,1,1.0,2.2668450274548017e-07,0.0
1,1,1.0,8.589137422460585e-10,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,4.958259356404453e-05,0.0
1,1,1.0,1.348943841685915e-07,0.0
1,1,1.0,3.6674581190947556e-10,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,3.857038766094406e-05,0.0
1,1,1.0,8.741133460579106e-08,0.0
1,1,1.0,1.7677262449592824e-10,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,3.059856619337332e-05,0.0
1,1,1.0,6.084111159717546e-08,0.0
1,1,1.0,9.413675727850356e-11,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,2.468415594863963e-05,0.0
1,1,1.0,4.4815651881961383e-08,0.0
1,1,1.0,5.4138464138607836e-11,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,2.020303809313665e-05,0.0
1,1,1.0,3.446249769945928e-08,0.0
1,1,1.0,3.2990602291335034e-11,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.6745573597199957e-05,0.0
1,1,1.0,2.736563668166801e-08,0.0
1,1,1.0,2.1011181941423655e-11,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.4035145628769427e-05,0.0
1,1,1.0,2.2259639989494885e-08,0.0
1,1,1.0,1.3857129316127082e-11,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.1880296342688075e-05,0.0
1,1,1.0,1.844281439610921e-08,0.0
1,1,1.0,9.405905811315448e-12,0.0
