Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,9,0.0295601581041767,0.01653921550415378
1,1,9,0.02712332767526055,0.01518005042085488
1,1,9,0.024880099623992888,0.013928337462319276
1,1,9,0.022816560665172996,0.01277640437114231
1,1,9,0.02091948914403252,0.011716960568146851
1,1,9,0.019176391582944586,0.010743114798891633
1,1,9,0.017575517887916198,0.009848382290183874
1,1,9,0.01610586040964582,0.009026683782715548
1,1,9,0.014757140975372016,0.008272338408354417
1,1,9,0.01351978920678963,0.007580052043964048
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,9,9.676582384976216,10.678277974182828
1,1,12,1.238696198040918,1.5565433389035928
1,1,11,2.0139118883228555,2.875306519510674
1,1,10,0.7888849624408263,0.6439215864242027
1,1,10,0.8589396793666357,0.5517545443986411
1,1,9,0.7865648473925794,0.44083569324339905
1,1,11,0.6995902697958449,0.5522131866605912
1,1,10,0.5468592769251193,0.5838147572123895
1,1,10,0.5414957354688557,0.5047983825876352
1,1,9,0.4409803673666955,0.43020483092023093
1,1,9,0.41234487011426235,0.3685432429438095
1,1,9,0.3266403483255526,0.29353655993811745
1,1,9,0.29122910391789175,0.23828268957046572
1,1,9,0.23221334981409847,0.18444254393935589
1,1,9,0.20237947364274264,0.14649433939865253
1,1,9,0.16576006834680188,0.11467244192061501
1,1,9,0.14261024938289568,0.09211890553525008
1,1,9,0.1190813079326871,0.07413805793596612
1,1,9,0.10130329944809909,0.06070909200279151
1,1,9,0.08515283464746873,0.049952923916663255
1,1,9,0.07200998372975728,0.04151869627436208
1,1,9,0.06075664049571041,0.03471094623829806
1,1,9,0.05147507868647759,0.029249345539641532
1,1,9,0.0437456614214992,0.024823276318079967
1,1,9,0.03738126591030964,0.021232483913445795
1,1,10,0.03212696038255723,0.018299157391147618
1,1,10,0.027789384872022774,0.015887433179173818
1,1,10,0.02419062983146891,0.01388669892474271
1,1,10,0.021187116359241427,0.012210951061611013
1,1,10,0.01866053212060869,0.010793150465546518
1,1,10,0.016517114042102224,0.009581893271012614
1,1,10,0.01468286896697885,0.008537795718209515
1,1,10,0.013100091589495414,0.007630668093020372
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,10,9.842996635879894,11.91114182105901
1,1,9,9.046230849795618,9.324192966562997
1,1,11,1.026845765687253,1.3544103841487165
1,1,11,5.261149160935764,4.147389004468083
1,1,10,1.09682756268144,0.9983259539178237
1,1,9,1.8729757861454466,1.336200297573129
1,1,9,1.340409390520222,0.7631367265574368
1,1,9,1.016509012202476,0.5281796881165525
1,1,8,0.7329606929460489,1.0846411992019236
1,1,9,0.33833888278559143,0.4439023045398755
1,1,9,0.09331479863512336,0.08101602203422299
1,1,9,0.10568493684881188,0.06137797487985617
1,1,9,0.06768731649388074,0.045543616277156994
1,1,10,0.06412015103091834,0.03581060292615032
1,1,10,0.0486353311841114,0.027830768724506905
1,1,11,0.04206533061636279,0.02253901644044365
1,1,10,0.03454181008943571,0.05145424380985932
1,1,10,0.027826259612073224,0.03783444107000553
1,1,9,0.014489083566813334,0.02045715786591904
1,1,9,0.011176828617308782,0.016736633473384478
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,10.01936818253133,12.899047014376313
1,1,9,3.757649516629163,4.276139196716027
1,1,9,0.8568466348975904,1.1359771982162936
1,1,8,2.077703279951725,1.5258036592046453
1,1,9,1.2691968423080486,0.8638038459050323
1,1,9,0.8456820826006638,0.5611223756405194
1,1,8,0.7072125426091938,0.38279091882997673
1,1,9,0.5556424470121321,0.831724273551468
1,1,9,0.40788359562380505,0.5668251539022416
1,1,9,0.03126494758528384,0.02707107528050796
1,1,9,0.28225843563665237,0.41931988135078396
1,1,8,0.03713836073236505,0.03082448257799397
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,9,10.202347270430813,13.209144751957473
1,1,9,2.53020740366983,3.3724767011106263
1,1,10,0.37020797293021,0.4730858110090339
1,1,9,1.4458765481377485,2.035494714639537
1,1,10,0.29736245443824344,0.40904759442855054
1,1,10,0.14067801210103553,0.20528743164233096
1,1,8,0.12009186489884305,0.1794372381886845
1,1,8,0.10253411517839461,0.1526232570030927
1,1,8,0.08758223807610617,0.13131087368293834
1,1,8,0.07580318398235923,0.11365576364994265
1,1,8,0.06557977965633977,0.09833290253260735
1,1,8,0.05672193934319859,0.08505204254215332
1,1,8,0.04906463604373597,0.07357094758569722
1,1,8,0.04244631555812869,0.06364733365880257
1,1,8,0.036725632172477006,0.055069494038600425
1,1,8,0.03177989108107778,0.047653544115396476
1,1,8,0.027503218637271343,0.04124078502848298
1,1,7,0.023804364320659376,0.035694411357449427
1,1,7,0.0206047077895998,0.03089657094827839
1,1,7,0.017836397942080574,0.026745515147247524
1,1,7,0.015440983537025013,0.023153612025292508
1,1,7,0.013367988439515923,0.020045171874999136
1,1,7,0.011573834482538103,0.017354851261775266
1,1,7,0.010020878756493528,0.01502620565253663
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,10.409580857610843,13.524576416284901
1,1,10,1.6038400151572303,1.8918582206976575
1,1,9,1.8340275233672176,2.1859038814530685
1,1,9,0.6797141191209136,0.8324750396472971
1,1,9,0.48212211827389223,0.5762164626277386
1,1,9,0.24754951897482755,0.33559759486905216
1,1,10,0.1968063344533641,0.29462930113933095
1,1,8,0.1481585237590562,0.22091337880467585
1,1,8,0.1278593297726595,0.19011625000982094
1,1,7,0.10895397612124623,0.16337918355254596
