t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Outer iterations,Inner iterations
0.5,3.650781821933857,5.201018721282544,8.851800543216372,0.30489762499996687,5.0,15.0
0.8235294117647058,4.1636376188169315,5.292330092637852,9.455967711454836,0.303794458000084,4.0,12.0
1.1470588235294117,4.767400804746175,5.427252481570611,10.194653286316747,0.3288303930000893,5.0,15.0
1.4705882352941178,5.419774570587773,5.61443294990821,11.034207520496016,0.37056915499988463,6.0,18.0
1.7941176470588236,6.0921371980189605,5.865447852725931,11.957585050744921,0.41119187799995416,7.0,21.0
2.1176470588235294,6.7575037016753985,6.197528243108216,12.95503194478368,0.5226903660000062,9.0,27.0
2.4411764705882355,7.378281751981163,6.640209060689404,14.018490812670631,1.3985592540000198,26.0,78.0
2.764705882352941,7.7923562907931885,7.34028977310972,15.132646063902849,1.54739935900011,25.0,83.0
3.088235294117647,8.035222015054659,8.233021132035578,16.26824314709019,1.5911793239999952,25.0,91.0
3.4117647058823533,8.23714478069055,9.184211165406523,17.42135594609715,1.8033939260001262,29.0,105.0
3.735294117647059,8.35681660352885,10.230631894268205,18.587448497796697,1.9634284720000323,33.0,116.0
4.0588235294117645,8.386895053043666,11.371599770440673,19.758494823484543,2.217326402000026,37.0,132.0
4.382352941176471,8.329384105499276,12.596524697673322,20.925908803172693,2.361735856999985,41.0,142.0
4.705882352941177,8.19256024245272,13.889288072414384,22.081848314867347,2.4413066089998665,43.0,146.0
5.029411764705882,7.985887332516637,15.23552822886896,23.221415561385676,2.5103513799999746,45.0,154.0
5.352941176470589,7.715417408876427,16.6318202063976,24.347237615273848,2.4940986579999844,45.0,153.0
5.676470588235294,7.389284509407368,18.097778545118445,25.48706305452583,2.688555815999962,50.0,169.0
6.0,7.161730046052005,19.744745598962478,26.906475645014318,2.70946208700002,51.0,171.0
