t,Elastic energy,Dissipated energy,Total energy,Number of iterations
0.0,0.0,41.5808389621445,41.5808389621445,1.0
0.43510673062595934,13.30664660953222,41.60760601356512,54.914252623097696,2.0
0.8702134612519187,52.568750351481214,42.020562408560124,94.5893127600409,4.0
1.305320191877878,115.53141704576129,44.0319547336024,159.56337177935978,12.0
1.7404269225038373,44.3673733665558,160.7420583097568,205.109431676313,634.0
2.1755336531297966,47.91981942078761,170.74771393781356,218.66753335860102,16.0
2.610640383755756,68.07742399530528,171.52451707878262,239.6019410740911,3.0
3.045747114381715,91.48938418017883,172.53704070651443,264.0264248866943,4.0
3.4808538450076747,117.8802164014746,173.9622322930162,291.8424486944993,5.0
3.915960575633634,146.93665646434204,175.9806223081955,322.9172787725399,7.0
4.351067306259593,178.2884725488127,178.8000466078095,357.0885191566175,9.0
4.786174036885552,211.47331775049207,182.68848765173036,394.1618054022201,14.0
5.221280767511512,0.9005363387439017,293.6463327234263,294.5468690621893,376.0
5.656387498137471,1.004624182465389,293.69441451876145,294.6990387012637,1.0
6.09149422876343,1.1239088823159822,293.73258314160375,294.8564920239628,1.0
6.52660095938939,1.2571168780544397,293.76338893787187,295.0205058159633,1.0
6.961707690015349,1.4033598035567139,293.7886113461624,295.19197114976,1.0
7.3968144206413085,1.5620025945132472,293.8095226800396,295.37152527457977,1.0
7.831921151267268,1.7325813975276358,293.8270523122939,295.55963370986376,1.0
8.267027881893227,1.914750971337516,293.84189196847933,295.7566429398513,1.0
