Iteration,Step size,Angle,Alpha,Beta,Alpha_opt,Beta_opt,Determinant,Curvature in AltMin direction
1,2.092421963877274e-19,-3.141592653589793,1,1,0.5,0.5,-8.401053096241687e-26,2.842170943040401e-14
1,5.188109181748522e-05,3.0697156751234846,0.9413086995839257,-0.038935913167932136,0.9413086995839257,-0.038935913167932136,2.1271173614515934e-21,6.932197038622689e-10
1,0.00031861004742676026,2.998118346521626,1.0005187206152704,-0.0007467509035778441,1.0005187206152704,-0.0007467509035778441,2.3669661531155263e-17,2.4907350848479837e-08
1,0.0008024097425926042,2.926934990582037,1.004603645519566,-0.0005132135334789522,1.004603645519566,-0.0005132135334789522,2.079663686666051e-15,1.5529317920481844e-07
2,2.2675233708961818e-06,0.2046042850767015,0.125,1.1875,0.125,1.1875,3.877409121342317e-26,6.963318810448982e-13
1,0.0015122291547151542,2.856286977971137,1.008925826792921,-0.0006845600900354237,1.008925826792921,-0.0006845600900354237,4.4880094931951794e-14,5.397472193635622e-07
2,6.801148444230456e-06,0.1949248948708348,0.9053892215568863,0.15269461077844312,0.9053892215568863,0.15269461077844312,1.349015256800348e-23,7.958078640513122e-12
1,0.002460123102352082,2.7863038138045875,1.0143251207290234,-0.0008810451446572662,1.0143251207290234,-0.0008810451446572662,4.684696319935961e-13,1.3903014490779242e-06
2,1.702206780663175e-05,0.2230993567960689,1.0605320489983832,-0.030750733057466225,1.0605320489983832,-0.030750733057466225,4.716351208230083e-22,4.945377440890297e-11
1,0.0036627025278205237,2.717095596279526,1.0210888115657282,-0.0010832767461211687,1.0210888115657282,-0.0010832767461211687,3.130872795701924e-12,2.9819226341487592e-06
2,3.624332403899456e-05,0.25255713795155416,1.0187421720482692,0.0010258475424164502,1.0187421720482692,0.0010258475424164502,1.2914018847979594e-20,2.2508572783408454e-10
1,0.005141026272330929,2.6487555089648316,1.0292967565547697,-0.0012895876818060583,1.0292967565547697,-0.0012895876818060583,1.5476842132030104e-11,5.651041234955301e-06
2,6.922769193862296e-05,0.28285987980096,1.0154387641746447,0.003265134061311162,1.0154387641746447,0.003265134061311162,2.1950994020426557e-19,8.125766726152506e-10
1,0.006921306160359003,2.5814036091560286,1.0390560566827267,-0.0014935720811589121,1.0390560566827267,-0.0014935720811589121,6.150233587827856e-11,9.793088722176435e-06
2,0.00012215845598497,0.31354120465460944,1.020910178339282,0.0020860613837847242,1.020910178339282,0.0020860613837847242,2.5731657906782262e-18,2.4831479095155373e-09
1,0.009035987478907255,2.5151045762377375,1.0505092975877874,-0.001704078265375927,1.0505092975877874,-0.001704078265375927,2.0735636943540038e-10,1.586042182566416e-05
2,0.00020265585569212606,0.3441372616242174,1.025733869961872,0.0022293302077517198,1.025733869961872,0.0022293302077517198,2.2996480558487904e-17,6.692644660688529e-09
1,0.011524574358174118,2.449937433542004,1.0638217440386004,-0.001919450915761212,1.0638217440386004,-0.001919450915761212,6.147494102892545e-10,2.4358620493103444e-05
2,0.00032065554969907525,0.37460744201162466,1.0316228242690686,0.002341100004278891,1.0316228242690686,0.002341100004278891,1.6648998658043004e-16,1.6367835087294225e-08
1,0.014435217118769234,2.385964259517626,1.0791991477278848,-0.0021403795566734113,1.0791991477278848,-0.0021403795566734113,1.6439322422761593e-09,3.584216852914324e-05
2,0.0004887586178305963,0.4048934801024188,1.0382473340618055,0.0025931604041849,1.0382473340618055,0.0025931604041849,1.0195416967849142e-15,3.706307438733347e-08
1,0.017826609321164838,2.3232346011681817,1.0968918468329412,-0.0023679110784085035,1.0968918468329412,-0.0023679110784085035,4.040047175858158e-09,5.090881921887558e-05
2,0.0007231661808535229,0.4350292265502642,1.0459411037533923,0.0028330630881202466,1.0459411037533923,0.0028330630881202466,5.455330861240652e-15,7.887933861638885e-08
1,0.021770785438566847,2.2617863491422265,1.117217199801251,-0.002603202878610544,1.117217199801251,-0.002603202878610544,9.254229918794827e-09,7.019211261649616e-05
2,0.001044501028421312,0.46494595925333027,1.0544568743492995,0.0030875068568786907,1.0544568743492995,0.0030875068568786907,2.6146619084636676e-14,1.5961597910063574e-07
3,7.201944874376162e-05,2.5604341622335784,1.1030356285723406,0.0029578319193730965,1.1030356285723406,0.0029578319193730965,4.963523559305047e-19,5.649098966387101e-10
