t,Elastic energy,Dissipated energy,Total energy,Number of iterations
0.5,3.650794374301436,5.201800867553673,8.852595241855093,3.0
0.8235294117647058,4.1636414192992675,5.292525754123122,9.456167173422344,2.0
1.1470588235294117,4.767448902190309,5.427073187217625,10.194522089407803,2.0
1.4705882352941178,5.420217267058599,5.613194891054157,11.033412158112768,2.0
1.7941176470588236,6.092394073766229,5.865612190845648,11.958006264611926,3.0
2.1176470588235294,6.757755380010156,6.197238143197169,12.954993523207252,4.0
2.4411764705882355,7.379873072996395,6.638745273353379,14.018618346349902,5.0
2.764705882352941,7.7713921487304916,7.358313552644001,15.12970570137448,34.0
3.088235294117647,8.031829050275332,8.231660563713428,16.263489613988718,33.0
3.4117647058823533,8.22507654451553,9.189960015233094,17.415036559748952,20.0
3.735294117647059,8.321550914710462,10.25585462199799,18.577405536708387,12.0
4.0588235294117645,8.334017746583198,11.408422132281302,19.74243987886465,24.0
4.382352941176471,8.251549155880086,12.649037401689247,20.90058655756944,27.0
4.705882352941177,8.089326953412648,13.954740730090606,22.044067683503272,31.0
5.029411764705882,7.861472336004543,15.306769977595708,23.168242313600203,32.0
5.352941176470589,7.5729534199815705,16.703123342515706,24.276076762497283,33.0
5.676470588235294,7.230168401103765,18.16525414285522,25.395422543959008,34.0
6.0,6.97758897850653,19.812731476146936,26.790320454653365,36.0
