Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.26487432574309044,0.0
1,1,1.0,0.05988861101796943,0.0
1,1,1.0,0.025810244105562447,0.0
1,1,1.0,0.016602250317901964,0.0
1,1,1.0,0.012379012548878144,0.0
1,1,1.0,0.009965219470835944,0.0
1,1,1.0,0.008348903310316735,0.0
1,1,1.0,0.007184306849755617,0.0
1,1,1.0,0.006302025267746635,0.0
1,1,1.0,0.005609923001815219,0.0
1,1,1.0,0.005052403688761243,0.0
1,1,1.0,0.0045939986535814235,0.0
1,1,1.0,0.00421096142379114,0.0
1,1,1.0,0.0038867679352623595,0.0
1,1,1.0,0.003609529841496928,0.0
1,1,1.0,0.0033704477242131195,0.0
1,1,1.0,0.0031628494771122223,0.0
1,1,1.0,0.0029815721286837096,0.0
1,1,1.0,0.0028225517090996076,0.0
1,1,1.0,0.0026825431337414536,0.0
1,1,1.0,0.0025589237601713467,0.0
1,1,1.0,0.002449552338022802,0.0
1,1,1.0,0.0023526656178921917,0.0
1,1,1.0,0.002266801198234222,0.0
1,1,1.0,0.002190739062247016,0.0
1,1,1.0,0.00212345669352167,0.0
1,1,1.0,0.002064094231523619,0.0
1,1,1.0,0.0020119271676538424,0.0
1,1,1.0,0.0019663447862412237,0.0
1,1,1.0,0.001926833041272848,0.0
1,1,1.0,0.0018929609025837685,0.0
1,1,1.0,0.001864369451277385,0.0
1,1,1.0,0.001840763183598897,0.0
1,1,1.0,0.0018219031154539957,0.0
1,1,1.0,0.001807601379878569,0.0
1,1,1.0,0.0017977170864865205,0.0
1,1,1.0,0.0017921532719208755,0.0
1,1,1.0,0.0017908548184601863,0.0
1,1,1.0,0.0017938072577500953,0.0
1,1,1.0,0.0018010364109101896,0.0
1,1,1.0,0.0018126088471939856,0.0
1,1,1.0,0.0018286331728212851,0.0
1,1,1.0,0.0018492621912605661,0.0
1,1,1.0,0.0018746960077810054,0.0
1,1,1.0,0.0019051861862973097,0.0
1,1,1.0,0.0019410411074565694,0.0
1,1,1.0,0.0019826327260097283,0.0
1,1,1.0,0.0020304049858972284,0.0
1,1,1.0,0.0020848842271870304,0.0
1,1,1.0,0.0021466920153556247,0.0
1,1,1.0,0.0022165609475888097,0.0
1,1,1.0,0.002295354152550204,0.0
1,1,1.0,0.002384089412889999,0.0
1,1,1.0,0.0024839691223423476,0.0
1,1,1.0,0.002596417667901056,0.0
1,1,1.0,0.0027231283395912523,0.0
1,1,1.0,0.0028661225693046616,0.0
1,1,1.0,0.003027825263623537,0.0
1,1,1.0,0.0032111613372300843,0.0
1,1,1.0,0.0034196804419547077,0.0
1,1,1.0,0.003657719574753405,0.0
1,1,1.0,0.0039306171204408595,0.0
1,1,1.0,0.004244997534131935,0.0
1,1,1.0,0.004609154219147954,0.0
1,1,1.0,0.005033570674394351,0.0
1,1,1.0,0.0055316390280574,0.0
1,1,1.0,0.006120664489549485,0.0
1,1,1.0,0.006823290413033466,0.0
1,1,1.0,0.007669552280393166,0.0
1,1,1.0,0.008699888177037854,0.0
1,1,1.0,0.009969629411707611,0.0
1,1,1.0,0.011555821112776473,0.0
1,1,1.0,0.013567768287778165,0.0
1,1,1.0,0.016163608730362326,0.0
1,1,1.0,0.019576662869407586,0.0
1,1,1.0,0.024157370612797536,0.0
1,1,1.0,0.0304384722670039,0.0
1,1,1.0,0.0392279959323961,0.0
1,1,1.0,0.05170901536286036,0.0
1,1,1.0,0.06943900245937897,0.0
1,1,1.0,0.09407629641927699,0.0
1,1,1.0,0.12741267656928992,0.0
1,1,1.0,0.16991497126793567,0.0
1,1,1.0,0.20276441735759468,0.0
1,1,1.0,0.22893663845010523,0.0
1,1,1.0,0.24407577776754272,0.0
1,1,1.0,0.2457324228142702,0.0
1,1,1.0,0.24840910950000214,0.0
1,1,1.0,0.24439284830730557,0.0
1,1,1.0,0.23798842748115048,0.0
1,1,1.0,0.22971320040593007,0.0
1,1,1.0,0.22396444348433722,0.0
1,1,1.0,0.21235322676025004,0.0
1,1,1.0,0.19974707205072428,0.0
1,1,1.0,0.1882601896235,0.0
1,1,1.0,0.1729570945055751,0.0
1,1,1.0,0.17233257044018788,0.0
1,1,1.0,0.16989821356187915,0.0
1,1,1.0,0.14149585513160254,0.0
1,1,1.0,0.14267883042525736,0.0
1,1,1.0,0.15202901864113094,0.0
1,1,1.0,0.1539591901670729,0.0
1,1,1.0,0.14930202671057896,0.0
1,1,1.0,0.14000505577495514,0.0
1,1,1.0,0.13452739729841384,0.0
1,1,1.0,0.14404470960398733,0.0
1,1,1.0,0.1476708784779499,0.0
1,1,1.0,0.13429062328108574,0.0
1,1,1.0,0.12111751128393625,0.0
1,1,1.0,0.11286377584651304,0.0
1,1,1.0,0.1107491292910277,0.0
1,1,1.0,0.10641770958940874,0.0
1,1,1.0,0.09766366055150405,0.0
1,1,1.0,0.09396235200342865,0.0
1,1,1.0,0.09588065695904398,0.0
1,1,1.0,0.09406864949946457,0.0
1,1,1.0,0.08470701264440944,0.0
1,1,1.0,0.07827815652056769,0.0
1,1,1.0,0.07705809956378519,0.0
1,1,1.0,0.08031158089601244,0.0
1,1,1.0,0.0813792638093619,0.0
1,1,1.0,0.07566507033998426,0.0
1,1,1.0,0.06949600988026905,0.0
1,1,1.0,0.06596540971543965,0.0
1,1,1.0,0.06532693987763757,0.0
1,1,1.0,0.06621049250653756,0.0
1,1,1.0,0.06544395483990813,0.0
1,1,1.0,0.06178425568239679,0.0
1,1,1.0,0.05699844056463776,0.0
1,1,1.0,0.05267585959598164,0.0
1,1,1.0,0.049727214582441864,0.0
1,1,1.0,0.048602599288389406,0.0
1,1,1.0,0.04893140087426648,0.0
1,1,1.0,0.04966135105436947,0.0
1,1,1.0,0.049683534544323185,0.0
1,1,1.0,0.048471150040672574,0.0
1,1,1.0,0.046164265176306514,0.0
1,1,1.0,0.043188707183889764,0.0
1,1,1.0,0.04003145078781768,0.0
1,1,1.0,0.037180543261562865,0.0
1,1,1.0,0.034997490591402065,0.0
1,1,1.0,0.03360773535090973,0.0
1,1,1.0,0.03290519265627409,0.0
1,1,1.0,0.03264319647376286,0.0
1,1,1.0,0.032543807669666164,0.0
1,1,1.0,0.03237519300543527,0.0
1,1,1.0,0.031982948837258524,0.0
1,1,1.0,0.03128978027605543,0.0
1,1,1.0,0.03028602250914017,0.0
1,1,1.0,0.029021429941307828,0.0
1,1,1.0,0.02759297605127801,0.0
1,1,1.0,0.0261224121483219,0.0
