t,Elastic energy,Dissipated energy,Total energy,Number of iterations
0.0,0.0,0.0,0.0,0.0
0.0075,0.1344168931292991,3.035190081648549e-10,0.1344168934328187,1.0
0.015,0.13447166028866528,4.680052692982437e-09,0.1344716649687178,1.0
0.0225,0.13455942341452487,2.320354034389716e-08,0.13455944661806502,1.0
0.03,0.13467763781660136,7.280364284112192e-08,0.13467771062024425,1.0
0.0375,0.13483219597115012,1.7721546644974023e-07,0.13483237318661648,1.0
0.045,0.0006537324149847176,3.6643907811089586e-07,0.0006540988540628274,2.0
0.0525,0.000889440427999757,6.806680129183608e-07,0.0008901210960126749,2.0
0.06,0.0011611701550740283,1.1647589003034337e-06,0.0011623349139743338,2.0
0.0675,0.0014688160392396636,1.8722773884605979e-06,0.0014706883166281251,2.0
0.075,0.0018122569395012463,2.8649746160903893e-06,0.0018151219141173329,2.0
0.08249999999999999,0.0021913554528658515,4.213229268203587e-06,0.0021955686821340543,2.0
0.09,0.0026059571589030373,5.996574937860818e-06,0.0026119537338408928,2.0
0.0975,0.003055889715886984,8.304329254423077e-06,0.003064194045141408,2.0
0.105,0.003540961794184547,1.1236344366979147e-05,0.003552198138551526,2.0
0.11249999999999999,0.004060961812942194,1.4903904772720842e-05,0.0040758657177149115,2.0
0.12,0.0046156548088235475,1.943075152937187e-05,0.004635085560352924,2.0
0.1275,0.005204787098423272,2.4954574759024566e-05,0.005229741673182301,2.0
0.135,0.005828074643553838,3.162836052866114e-05,0.005859703004082497,2.0
0.1425,0.006485206545453126,3.962250129533939e-05,0.00652482904674849,2.0
0.15,0.007175840325081581,4.912721270860203e-05,0.0072249675377902,2.0
0.1575,0.007899597921271699,6.035563466647941e-05,0.007959953555938178,2.0
0.16499999999999998,0.008656060477029595,7.354781603720366e-05,0.00872960829306679,2.0
0.1725,0.009444761902228828,8.897594489825955e-05,0.009533737847127079,2.0
0.18,0.010265180145723043,0.0001069513470175286,0.010372131492740577,2.0
0.1875,0.011116725571357969,0.0001278341019626533,0.011244559673320621,2.0
0.195,0.011998739288100135,0.00015204675803999528,0.012150786046140151,2.0
0.20249999999999999,0.012910417420673835,0.0001800938403456301,0.013090511261019448,2.0
0.21,0.01385084954328955,0.00021259269835219053,0.014063442241641744,2.0
0.2175,0.014818920086920987,0.00025032172152948955,0.015069241808450498,2.0
0.22499999999999998,0.015813231829500868,0.00029430295552502876,0.01610753478502589,2.0
0.23249999999999998,0.016831950817394442,0.00034595350550432,0.017177904322898743,2.0
0.24,0.01787250640903793,0.00040739343266618894,0.018279899841704108,2.0
0.2475,0.018928157703548047,0.0004822190196708405,0.01941037672321894,3.0
0.255,0.01999465147455619,0.0005775583830778234,0.02057220985763402,3.0
0.2625,0.02104809533310322,0.0007143414991898796,0.021762436832293144,3.0
0.27,0.021950940404607194,0.0010227977116232536,0.02297373811623047,2.0
0.27749999999999997,0.02182576264840612,0.002665861485779867,0.024491624134186013,1.0
0.285,0.02182576264840612,0.002665861485779867,0.024491624134186013,0.0
0.2925,0.030658663037386413,0.002736384275735562,0.03339504731312193,2.0
0.3,0.027681518484042513,0.003168117432517271,0.03084963591655988,1.0
0.3075,0.027681518484042513,0.003168117432517271,0.03084963591655988,0.0
0.315,0.027681518484042513,0.003168117432517271,0.03084963591655988,0.0
0.3225,0.027681518484042513,0.003168117432517271,0.03084963591655988,0.0
0.32999999999999996,0.03345391470827631,0.006801936971261897,0.040255851679538275,6.0
0.33749999999999997,0.0333782023063366,0.006807779581352413,0.04018598188768907,1.0
0.345,0.03149022622012127,0.007578320084516021,0.039068546304637346,2.0
0.3525,0.026276731536102438,0.008947766074973013,0.035224497611075524,6.0
0.36,0.026276731536102438,0.008947766074973013,0.035224497611075524,0.0
0.3675,0.08496903018821572,0.01333208617098322,0.09830111635919889,3.0
0.375,0.08482980095308926,0.013294840035867775,0.09812464098895685,1.0
0.3825,0.0701684783524066,0.013786611190214538,0.0839550895426213,1.0
0.39,0.0701684783524066,0.013786611190214538,0.0839550895426213,0.0
0.39749999999999996,0.04117548958229421,0.015406748861518955,0.056582238443813174,2.0
0.40499999999999997,0.04117548958229421,0.015406748861518955,0.056582238443813174,0.0
0.4125,0.04117548958229421,0.015406748861518955,0.056582238443813174,0.0
0.42,0.02590480739888041,0.018515847289034368,0.04442065468791466,7.0
0.4275,0.02590480739888041,0.018515847289034368,0.04442065468791466,0.0
0.435,0.02590480739888041,0.018515847289034368,0.04442065468791466,0.0
0.4425,0.02590480739888041,0.018515847289034368,0.04442065468791466,0.0
0.44999999999999996,0.02678707138432488,0.019569198675135506,0.04635627005946005,6.0
0.45749999999999996,0.02678707138432488,0.019569198675135506,0.04635627005946005,0.0
0.46499999999999997,0.06652434790897188,0.02141917460531581,0.0879435225142875,4.0
0.4725,0.06652434790897188,0.02141917460531581,0.0879435225142875,0.0
0.48,0.06652434790897188,0.02141917460531581,0.0879435225142875,0.0
0.4875,0.06652434790897188,0.02141917460531581,0.0879435225142875,0.0
0.495,0.06652434790897188,0.02141917460531581,0.0879435225142875,0.0
0.5025,0.06652434790897188,0.02141917460531581,0.0879435225142875,0.0
0.51,0.11534837158000759,0.035247355438752466,0.15059572701875998,2.0
0.5175,0.11534837158000759,0.035247355438752466,0.15059572701875998,0.0
0.525,0.11534837158000759,0.035247355438752466,0.15059572701875998,0.0
0.5325,0.11534837158000759,0.035247355438752466,0.15059572701875998,0.0
0.54,0.11534837158000759,0.035247355438752466,0.15059572701875998,0.0
