Iteration,Step size,Angle,Alpha,Beta
1,5.125106753318331,0.0984226964697857,1.0500481907053352,0
2,0.21464908313657796,0.2873160111373711,1.163713259193149,0.01429946527940678
3,0.02465258928311216,0.07744215271952755,1.033627361984013,0.0021747195261317964
4,0.0012040632083266535,0.23604444652806053,1.150164344697632,0.0010404189895167526
5,0.0001381868198042928,0.07028479181438692,1,0.02989653617536038
1,0.5368241248253318,0.20864938034988573,1.2368705322298708,-1.3601065384447401e-05
2,0.03510685560844141,0.12320168399822623,1.113971882695738,0.0008252662246413625
3,0.003844744588254986,0.15953541653334094,1.1987898099272711,-0.0036735010067738636
4,0.0003665144014465398,0.11838508100535935,1.0939479398404712,-0.0014480325869676142
1,0.707992409978778,0.22517000884951804,1.3302947155892146,-1.3338590297982053e-06
2,0.06777977204018555,0.1338960149670255,1.1585750423872576,0.00040783864386381247
3,0.01115412132033408,0.17178668048447962,1.2769799254591203,-0.0040080400150019355
4,0.0015354031171183043,0.12671504639621095,1.135701459852184,-0.0022305818008443237
5,0.00025142293805123175,0.1721265557163058,1.2646458949672317,-0.0011974727877404946
1,0.9080935939552143,0.24027042273339227,1.4504469963800197,-1.1550211032363296e-06
2,0.11597435708578392,0.14703788487410158,1.2128615577164794,-0.0006888542888952691
3,0.027308144715673752,0.18462728653729824,1.3726998395125656,-0.0034286622854525542
4,0.005071010401718061,0.13969254316451962,1.1865677946190565,-0.0021176466105224043
5,0.001183352689257391,0.1816433096189374,1.3575307970942008,-0.002306384880893441
6,0.00023358650575748926,0.13943313016714046,1.1774403399199738,0
1,1.1596563094691008,0.2523939451991263,1.6067857060473774,2.1627331453765588e-10
2,0.1875693901105434,0.1604236847010493,1.2799237345928234,-0.003319366011564665
3,0.06125358030454874,0.19606368471019112,1.4889172777520832,-0.0013521376461525238
4,0.014702413806540627,0.15488376394113498,1.2513277997688115,-0.0012493398652258798
5,0.004820594645710094,0.18996387028395947,1.4676015551226547,-0.0017478474727865459
6,0.0012527708606229438,0.1520913726082988,1.2435210346255892,0
7,0.00041679849061486543,0.19137449414418126,1.4648604445659734,0.0004172062003692572
1,1.4914543362815906,0.2605885614267734,1.813981881443368,0
2,0.29622212045485935,0.17264738724766823,1.3633152886051831,-0.008991492376698355
3,0.1305040177022995,0.20558676299465267,1.6261952413422693,0.004114703273885704
4,0.03951166419768157,0.1715780238912228,1.338084739722176,0.0010785090187212373
5,0.018145801853356763,0.1954566821616386,1.60411623705578,0.00015403940371170612
6,0.006221838186588451,0.16485903711678557,1.3462113170303753,-0.0008237244709377513
7,0.003007897461174461,0.1914378615076221,1.6438259138058446,-0.0015501425218542796
8,0.0011962824203100256,0.15843893731482656,1.3925199493256923,-0.001067970045552714
9,0.0006510575389629844,0.1852548782594151,1.7221421267405284,0
1,1.9427412872699144,0.2640801808177933,2.0923363355037288,-3.233582623499039e-07
2,0.46443093114114453,0.18221295542756963,1.4655163136847,-0.020226038181530556
3,0.2671549144810401,0.21336978007309904,1.7842628524056825,0.01669204317995682
4,0.10343153395134597,0.18772589856486782,1.4763942877561613,0.0068877905369384195
5,0.07199072050244117,0.19384789796700516,1.8726995544318084,0.004162289944029601
6,0.03941456286831183,0.1662213689477291,1.6168421780987876,0.0029422652198406946
7,0.03481673395044847,0.17512496417138637,2.1103289362242372,-0.00040885826363692567
8,0.024789919636428622,0.15125605862114627,1.6727995721765332,0.00078058152290651
9,0.022772908779015753,0.1718318527027328,2.14127962011907,-0.0006088100408593772
10,0.01701990856352719,0.1495178868872619,1.6670296927017505,-0.0003840856500855091
11,0.015596489892821856,0.1734243413387829,2.134387348745713,-0.0007009471675289753
12,0.011683309196085923,0.15045614996433715,1.6617259570683145,-0.0006680918721139706
13,0.010741431654393969,0.17535472974155428,2.1266787311132664,-0.0007309058300481941
14,0.008023736896837629,0.1521585165448124,1.6581483384888887,-0.000661944333723143
15,0.007414921018671636,0.17740542199392703,2.1205421981872843,-0.0006643963481735498
16,0.005520526645348173,0.15414105572776,1.6549394810112255,0
17,0.005123870696533066,0.1795850703845076,2.114124373818981,0.0001734704292759102
