t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Outer iterations,Inner iterations
0.0,0.0,92.43104071874833,92.43104071874833,0.5425562730000024,1.0,1.0
0.01,0.43255464091239887,92.43104611971009,92.86360076062263,0.4515776439999968,1.0,2.0
0.02,1.7300888952849722,92.43112716632533,94.16121606161039,0.4707535769999822,1.0,2.0
0.03,3.892213422360535,92.43147861318931,96.32369203554995,0.7304647210000326,2.0,4.0
0.04,6.918278183130138,92.43242581154294,99.35070399467278,0.8049716109999849,2.0,4.0
0.05,10.807370687099503,92.43442588442305,103.24179657152243,0.723228081000002,2.0,4.0
0.06,15.558313437783646,92.43806944746873,107.99638288525256,0.6895338250000123,2.0,4.0
0.07,21.169660471310536,92.44408295479056,113.6137434261007,0.7713865299999725,2.0,4.0
0.08,27.639692834522048,92.4533317870236,120.0930246215457,0.7521272600000088,2.0,4.0
0.09,34.9664127880204,92.4668242468073,127.43323703482781,0.9655276189999995,2.0,4.0
0.1,43.147536451932,92.4857166781045,135.63325313003648,0.8515686940000364,2.0,4.0
0.11,52.180484490200925,92.51132002597525,144.6918045161758,0.7847130220000054,2.0,4.0
0.12,62.06237029152328,92.54510826162384,154.60747855314725,0.771399635000023,2.0,4.0
0.13,72.78997954167419,92.58873460982618,165.37871415150033,0.9908608719999847,3.0,5.0
0.14,84.3597688914169,92.64402770717797,177.00379659859527,0.950612829000022,3.0,5.0
0.15,96.7678165917427,92.71303441590028,189.4808510076429,0.9584807969999929,3.0,5.0
0.16,110.00980299853325,92.79803108364331,202.8078340821765,0.9655612130000009,3.0,5.0
0.17,124.08096159826701,92.90156189695338,216.98252349522022,0.9417301240000029,3.0,5.0
0.18,138.97601564223189,93.02648833839189,232.0025039806235,0.9401033149999876,3.0,5.0
0.19,154.68907037272925,93.1760781077117,247.865148480441,1.2553105060000007,4.0,7.0
0.2,171.21353775871773,93.35405524831316,264.56759300703084,1.2217117490000078,4.0,7.0
0.21,188.54185295540296,93.56484614551371,282.10669910091644,1.2417266200000086,4.0,7.0
0.22,206.66518597613253,93.8138132314902,300.47899920762256,1.4668307589999472,4.0,7.0
0.23,225.5726713241283,94.10793538893046,319.6806067130582,1.3222450060000028,4.0,8.0
0.24,245.2508418763225,94.45622988192346,339.70707175824566,1.3335650639999699,4.0,8.0
0.25,265.67140243513836,94.88166675532989,360.55306919046825,2.751385504000041,9.0,18.0
0.26,286.8125185094377,95.39924843595236,382.2117669453904,1.9059234939999783,6.0,12.0
0.27,308.55863464146387,96.11390575958335,404.6725404010472,2.4917947570000365,7.0,17.0
0.28,168.49993088268442,243.6110957486526,412.111026631337,251.31339551899998,795.0,1782.0
0.29,152.8578377129776,270.89494893518724,423.75278664816506,70.72295304700003,226.0,503.0
0.3,160.39983841558916,273.9932360740129,434.3930744896013,15.129875556999991,46.0,114.0
0.31,156.02235777703368,288.7826323729926,444.8049901500263,125.48887537900009,384.0,848.0
0.32,153.57420958489044,301.03566285615256,454.60987244104376,149.1228432139999,458.0,1118.0
0.33,156.58132839666854,307.5554179320053,464.13674632867367,34.44857236600001,116.0,244.0
0.34,147.26684575359843,325.8081901978344,473.0750359514324,54.267833321000126,176.0,388.0
0.35000000000000003,151.6794938842122,330.07147423100014,481.7509681152127,29.89565308100009,86.0,188.0
0.36,155.1265969261583,335.26416747755167,490.3907644037098,118.95358408799984,379.0,869.0
0.37,153.6345746074982,345.1900374347106,498.8246120422084,97.85718756899996,313.0,698.0
0.38,153.52213955035344,353.4588807167009,506.98102026705357,51.977981022999984,155.0,392.0
0.39,153.2956543506651,361.6928895107143,514.9885438613793,145.15888544500012,489.0,999.0
0.4,149.71073471212884,372.9167340983468,522.6274688104754,100.11972433100004,269.0,776.0
0.41000000000000003,139.45441616187,390.3897623880215,529.844178549891,319.02431451100006,1000.0,2278.0
0.42,112.05247002860038,415.98805507153315,528.0405251001329,273.012645584,801.0,1888.0
0.43,117.37806405551157,416.0600931712298,533.43815722674,0.899264224000035,2.0,5.0
0.44,122.82491775254807,416.13441604588655,538.959333798434,0.8793872790001842,2.0,5.0
0.45,128.39316813106782,416.2108060385,544.6039741695679,0.9007994399999006,2.0,5.0
0.46,134.08233775564145,416.28963125735015,550.3719690129908,0.9286993149999034,2.0,5.0
0.47000000000000003,139.89264243572856,416.3705842125717,556.2632266482998,1.2746846479999476,3.0,7.0
0.48,145.82162922351077,416.4559805132369,562.277609736748,1.2984628310000517,3.0,8.0
0.49,151.87036913067183,416.54458990928913,568.41495903996,1.0483902360001593,3.0,5.0
0.5,158.03884766218783,416.6362937709504,574.6751414331375,1.0388017039999795,3.0,5.0
0.51,164.32619328823682,416.73181763987213,581.0580109281074,1.0499463209998794,3.0,5.0
0.52,170.73158482230593,416.8318193225807,587.5634041448857,1.0675601379998625,3.0,5.0
0.53,177.25448526517906,416.9366560799243,594.191141345104,1.8171057829999882,4.0,6.0
0.54,183.89447625218992,417.0465580428924,600.9410342950819,1.5131196250003995,4.0,6.0
0.55,190.65082258196216,417.1620579935022,607.8128805754634,1.5222163200000978,4.0,6.0
0.56,197.52412864524365,417.282362090522,614.8064907357651,1.5755718919999708,4.0,6.0
0.5700000000000001,204.51303169583022,417.4086413271281,621.9216730229579,1.5818501220001053,4.0,6.0
0.58,211.61741197123777,417.5408029631194,629.1582149343562,1.5828258219999043,4.0,6.0
0.59,218.83646341331658,417.67943894970347,636.5159023630204,1.7555424229999517,4.0,6.0
0.6,226.1699738021065,417.82453800617105,643.994511808278,1.6529733409997789,4.0,6.0
0.61,233.61778084377534,417.97604849446395,651.5938293382394,1.886907500000234,4.0,6.0
0.62,241.1788677069826,418.1347646029655,659.3136323099469,1.5770988909998778,4.0,6.0
0.63,248.8527022819299,418.3009740781971,667.1536763601275,1.548983089000103,4.0,6.0
