t,Elastic energy,Dissipated energy,Total energy,Outer iterations,Inner iterations
0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.1756835541599293,0.00441165177590237,0.18009520593583417,1.0,10.0
0.2222222222222222,0.6106547727339723,0.06392150337508076,0.6745762761090544,4.0,35.0
0.3333333333333333,1.059324582099664,0.2835170712639383,1.3428416533636123,11.0,98.0
0.4444444444444444,1.9738638417434498,3.477991737918781,5.451855579662271,258.0,12393.0
0.5555555555555556,1.9738638417434498,3.477991737918781,5.451855579662271,0.0,0.0
0.6666666666666666,1.9738638417434498,3.477991737918781,5.451855579662271,0.0,0.0
0.7777777777777777,1.9738638417434498,3.477991737918781,5.451855579662271,0.0,0.0
0.8888888888888888,1.9738638417434498,3.477991737918781,5.451855579662271,0.0,0.0
1.0,1.9738638417434498,3.477991737918781,5.451855579662271,0.0,0.0
