t,Elastic energy,Dissipated energy,Total energy,Outer iterations,Inner iterations
0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.1759896006316581,0.004411822774792506,0.18040142340645296,1.0,10.0
0.2222222222222222,0.607938571435434,0.06390194622357044,0.6718405176590017,3.0,28.0
0.3333333333333333,1.0611629787433765,0.2834698195921243,1.3446327983355058,5.0,51.0
0.4444444444444444,0.034227642316493986,1.3234493853689349,1.3576770276854366,11.0,108.0
0.5555555555555556,0.02488627858930009,1.3458378515220422,1.370724130111333,2.0,22.0
0.6666666666666666,0.01932572447504436,1.3594185376001378,1.3787442620751842,2.0,31.0
0.7777777777777777,0.015528288086397102,1.3685699621030718,1.3840982501894685,1.0,21.0
0.8888888888888888,0.012787152606689478,1.3750812064985156,1.3878683591052037,1.0,20.0
1.0,0.010754942501021237,1.3798793989712217,1.3906343414722395,1.0,22.0
