t,Elastic energy,Dissipated energy,Total energy,Number of iterations
0.0,0.0,0.0,0.0,0.0
0.0075,1.817885072649122e-05,2.807704840370904e-10,1.817913149697526e-05,2.0
0.015,7.270866073068042e-05,4.495005081188047e-09,7.271315573576165e-05,2.0
0.0225,0.00016356917323916695,2.2778659997970852e-08,0.00016359195189916473,3.0
0.03,0.0002907265256740175,7.209259050593241e-08,0.0002907986182645227,3.0
0.0375,0.0004541330957174117,1.7632548245005954e-07,0.00045430942119986184,4.0
0.045,0.0006537272819110734,3.664408520101846e-07,0.000654093722763082,4.0
0.0525,0.000889433214555391,6.806713485086158e-07,0.0008901138859038999,4.0
0.06,0.001161160391279243,1.1647646089449931e-06,0.0011623251558881905,4.0
0.0675,0.0014688032298391213,1.8722863320042477e-06,0.0014706755161711248,4.0
0.075,0.0018122405285813392,2.8649878883398662e-06,0.001815105516469677,4.0
0.08249999999999999,0.002191334822359178,4.213247860895131e-06,0.0021955480702200735,4.0
0.09,0.0026059316183774887,5.9965995402148625e-06,0.002611928217917705,4.0
0.0975,0.0030558584910968384,8.304360929645706e-06,0.0030641628520264867,5.0
0.105,0.0035409240156884627,1.1236382129728162e-05,0.003552160397818187,5.0
0.11249999999999999,0.004060916497407238,1.4903946441202241e-05,0.004075820443848447,5.0
0.12,0.004615602465681063,1.943084724851803e-05,0.004635033312929585,5.0
0.1275,0.005204724864802383,2.4954698355908535e-05,0.005229679563158304,6.0
0.135,0.00582800089058483,3.1628514330581423e-05,0.005859629404915417,6.0
0.1425,0.0064851193225944435,3.962269319415843e-05,0.006524742015788598,7.0
0.15,0.007175737283280298,4.912744632915363e-05,0.007224864729609469,7.0
0.1575,0.007899476154054303,6.035591366252051e-05,0.007959832067716818,7.0
0.16499999999999998,0.008655916411644687,7.354815750662324e-05,0.008729464569151326,8.0
0.1725,0.009444591010096428,8.897634961737772e-05,0.009533567359713797,8.0
0.18,0.010264976529713647,0.0001069518443699253,0.010371928374083558,9.0
0.1875,0.011116481388265122,0.00012783471873606042,0.011244316107001188,10.0
0.195,0.011998429279223682,0.00015204742668281697,0.012150476705906516,11.0
0.20249999999999999,0.012910035419181343,0.0001800946954670739,0.013090130114648409,12.0
0.21,0.013850370918582962,0.0002125938785099712,0.014062964797092924,13.0
0.2175,0.01481830668385983,0.00025032355537668474,0.015068630239236533,14.0
0.22499999999999998,0.01581241951102142,0.0002943062702545878,0.01610672578127604,16.0
0.23249999999999998,0.016830822468156707,0.0003459604862862699,0.01717678295444297,18.0
0.24,0.017870824549861806,0.0004074106833599872,0.018278235233221772,21.0
0.2475,0.01892814131469657,0.00048221882227566154,0.01941036013697224,26.0
0.255,0.0199945897023679,0.0005775580581232854,0.020572147760491176,34.0
0.2625,0.02104753527821364,0.0007143566420627059,0.021761891920276347,56.0
0.27,0.010648879511490525,0.011057579445885406,0.0217064589573759,916.0
0.27749999999999997,0.00981920497433657,0.012447701005762125,0.022266905980098724,442.0
0.285,0.009220342478673324,0.01355347911250824,0.022773821591181596,302.0
0.2925,0.008672851471798412,0.014565658041713832,0.023238509513512123,285.0
0.3,0.008380545268947858,0.015288249511445359,0.023668794780393132,281.0
0.3075,0.007739663005336612,0.016326892880624472,0.024066555885961124,425.0
0.315,0.007379755424411018,0.017055208705470625,0.02443496412988156,781.0
0.3225,0.007162744762500083,0.01761432143853647,0.02477706620103651,249.0
0.32999999999999996,0.0068485334426894645,0.01824884969643836,0.025097383139127988,520.0
0.33749999999999997,0.006554968533466223,0.018844400712566434,0.02539936924603259,233.0
0.345,0.006432749869895544,0.01925192657223704,0.025684676442132535,172.0
0.3525,0.006194517043477287,0.01976044996002902,0.025954967003506173,251.0
0.36,0.006099298522666394,0.020113571554849278,0.02621287007751578,214.0
0.3675,0.005870726305458285,0.020587077447091238,0.026457803752549566,281.0
0.375,0.005792749661078515,0.020899892623694263,0.026692642284772444,201.0
0.3825,0.005619258790466648,0.021299395764316872,0.02691865455478368,796.0
0.39,0.005477400346995592,0.021655152315331137,0.027132552662326833,202.0
0.39749999999999996,0.005402007009558999,0.021937265366390395,0.027339272375949283,148.0
0.40499999999999997,0.005304938836016456,0.022234698701269026,0.027539637537285607,182.0
0.4125,0.005127868452575275,0.02260365624206526,0.027731524694640526,196.0
0.42,0.005076926596942413,0.022838671826824194,0.027915598423766685,258.0
0.4275,0.004989832931846677,0.023103679688640983,0.028093512620487766,174.0
0.435,0.004660667263700407,0.02360047489849452,0.02826114216219502,216.0
0.4425,0.004603011045168163,0.023816370678978134,0.028419381724145872,169.0
0.44999999999999996,0.004518547963136471,0.024053903117653784,0.02857245108079051,138.0
0.45749999999999996,0.004487066841534986,0.024234375341879683,0.02872144218341477,396.0
0.46499999999999997,0.004331393610096693,0.02453237525720862,0.028863768867305246,143.0
0.4725,0.004306946975699609,0.024695085992674608,0.0290020329683741,177.0
0.48,0.0042425464721922036,0.02489393186996951,0.029136478342161695,134.0
0.4875,0.004228802461439524,0.025039023600589072,0.02926782606202854,167.0
0.495,0.004090573250026039,0.025304162810753886,0.029394736060779757,177.0
0.5025,0.0040677138002219995,0.02544960018864896,0.029517313988870957,108.0
0.51,0.004034926430249977,0.025602623102423595,0.029637549532673384,232.0
0.5175,0.0039906031431090755,0.02576391579983239,0.029754518942941413,114.0
0.525,0.003974944978700243,0.025894221112110635,0.029869166090810837,161.0
0.5325,0.003850119067112785,0.02613014728464918,0.029980266351761955,194.0
0.54,0.0037989191797158364,0.026288223388955693,0.03008714256867143,104.0
0.5475,0.0037547721135970462,0.026436610115053372,0.030191382228650237,120.0
0.5549999999999999,0.0036669161362067504,0.026625583685578883,0.030292499821785633,198.0
0.5625,0.003613953953726206,0.0267761498538237,0.03039010380754971,100.0
0.57,0.0035815534969628015,0.02690389193293739,0.030485445429900105,164.0
0.5775,0.003485204549932384,0.027092679663186514,0.030577884213118932,192.0
0.585,0.0034370978342035236,0.027229978964771164,0.030667076798974735,109.0
0.5925,0.0034250689279505496,0.027329388649571254,0.030754457577521845,85.0
0.6,0.0034210999560921845,0.02741947538041829,0.030840575336510554,104.0
