t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Number of iterations
0.5,3.650782267591799,5.201018275640013,8.851800543231782,0.2667764160000843,6.0,0.0
0.8235294117647058,4.163643365120799,5.29232434686604,9.455967711986768,0.28899983300004806,5.0,0.0
1.1470588235294117,4.7674160518867685,5.42723723582835,10.194653287715246,0.2811847890000081,6.0,0.0
1.4705882352941178,5.419791176194867,5.614416345193581,11.03420752138839,0.3525981989999991,8.0,0.0
1.7941176470588236,6.09217277510379,5.86541227772844,11.95758505283227,0.40489032400000724,10.0,0.0
2.1176470588235294,6.757584857170538,6.197447094470936,12.955031951641564,0.5299887269999317,13.0,0.0
2.4411764705882355,7.378404828085024,6.64008611431551,14.01849094240056,1.3265665270000682,36.0,0.0
2.764705882352941,7.793186786877854,7.339495875322762,15.132682662200533,1.8965625430000728,46.0,0.0
3.088235294117647,8.035534314890475,8.232764222192573,16.268298537083126,2.071133041000053,47.0,0.0
3.4117647058823533,8.237569112495459,9.183846051734958,17.42141516423054,2.308945903999984,53.0,0.0
3.735294117647059,8.357305008096265,10.230206305657042,18.58751131375348,2.6024036080000315,60.0,0.0
4.0588235294117645,8.38745007234101,11.371111553189573,19.758561625530774,2.850967222999998,67.0,0.0
4.382352941176471,8.329999827783348,12.595980100201226,20.92597992798472,3.0325702180000462,73.0,0.0
4.705882352941177,8.193160620370831,13.888763435954647,22.081924056325406,3.1720158489999903,77.0,0.0
5.029411764705882,7.986547098599202,15.234949072108392,23.221496170707542,3.2545232290000286,80.0,0.0
5.352941176470589,7.716017352620327,16.631306007977333,24.347323360597727,3.317959850999955,82.0,0.0
5.676470588235294,7.390125735527396,18.0970285269532,25.487154262480612,3.3746434300001056,84.0,0.0
6.0,7.162514080856083,19.7440592598277,26.906573340684155,3.515119496000011,89.0,0.0
